0	1	2	3	4	5
2335177	460732	What color is the man's shirt?	White.	Menene launin rigar mutumin?	Fari.
2392303	1494576	What is attached to the Westminster palace?	A tall tower.	Menene yake maƙale a jikin fadar Westminster?	Dogon hasumiya.
2321185	886868	What are the horses walking on?	Sand.	Akan me dawakan suke tafiya?	Ƙasa.
2392923	1436743	What are the ties on top of?	Blanket.	A kan me ɗamarorin wuyan suke?	Bargo.
2365369	631160	Why is the ground white?	It's snowing.	Meyasa ƙasan yayi fari?	Dusar ƙanƙara ke zuba.
2365369	1740468	What are the people doing?	Walking.	Me mutanen sukeyi?	Tafiya.
2392682	225507	What are the Men doing?	Playing frisbee.	Me mutanen sukeyi?	Yin wasan frisbee.
2392682	225511	What are the people in the background doing?	Watching the Men play.	Me mutanen bayan sukeyi?	Kallon mazan suna wasan.
2361297	1659238	What is on the man's wrist?	A wristband.	Menene a wuyan hannun mutumin?	Bandajin wuyan hannu.
2415913	938455	What is covering the window?	A curtain.	Menene ya rufe tagar?	Labule.
2415420	934508	What color is the sink?	White.	Menene launin sink ɗin?	Fari.
2327133	597778	How many lights are on the front of the bus?	Eight.	Nawane adadin fitilolin gaban bas ɗin?	Takwas.
2327133	597772	When was the photo taken?	Daytime.	Yaushe aka ɗauki hoton?	Da rana.
2376728	1972463	Where are the forks?	On the napkin.	Ina cokula masu yatsu?	A kan adikon goge baki.
2340094	523510	What color is the ground?	Tan.	Menene launin ƙasan?	Launin tan.
2415601	935954	How many cars do not have on their headlights?	One.	Nawane adadin motoci marasa fitila?	Ɗaya.
2414132	1023787	Where is the white building located?	End of street.	A ina farin gini yake?	A ƙarshen titi.
2326262	278262	What color are the stairs?	Red.	Menene launin matakalan?	Ja.
2316899	921158	What is the teddy bear wearing?	A bowtie.	Me ƴar tsanar ta ke sanye dashi?	Ɗamarar wuya mai kintinkiri.
2400596	1225509	What is in the bowl?	Tomatoes.	Menene a cikin tasan?	Tumatir.
2330978	402852	How many light poles?	One.	Nawane adadin ƙarafunan fitila?	Ɗaya.
2389363	1418108	Where is the fence?	Behind the man.	Ina shingen?	A bayan mutumin.
2359510	1622741	What is this object?	Snowman.	Menene wannan abun?	Mutumin dusar ƙanƙara.
2328500	340833	Where is the boat?	In the water.	Ina jirgin ruwan?	A cikin ruwan.
2379652	555836	Where is this scene?	Airport.	Ina ne wannan gurin?	Filin jirgin sama.
2367880	1790519	What is the man doing with left hand?	Steadying pizza while cutting.	Me mutumin yakeyi da hannun hagu?	Tsayarda fizza yayin yankawa.
2386210	678483	What color is out of bounds?	Red.	Wani launi ne a wajen iyaka?	Ja.
2354438	384086	How many sets of eyes can you see?	One.	Nawane adadin idanu da ka iya gani?	Ɗaya.
2407651	1043062	What, predominantly, is the material used for the items furnishing this room?	Wood.	Menene, galibi, abun da akayi amfani na sanya kayan ɗakin ɗakinnan?	Katako.
2321878	881327	What color objects are on the ground?	Kites.	Wasu launin abubuwa ne a ƙasa?	Jiragen leda.
2408770	1067265	What is around the baseball field?	A fence.	Menene a kewaye da filin baseball ɗin?	Shinge.
2341904	841898	What color is the sky?	Blue.	Menene launin saman?	Shuɗi.
2345930	710705	What base is in this picture?	3rd base.	Wani tushe ne a cikin wannan hoton?	Tushe na uku?.
2324679	858920	What color is the surfboard?	White.	Menene launin allon hawan igiyar ruwan?	Fari.
2324679	858921	What color is the person's wetsuit?	Black.	Menene launin rigar ruwan mutumin?	Baƙa.
2365369	631161	When was this photo taken?	During the daytime.	Yaushe aka ɗauka wannan hoton?	Da lokacin rana.
2384775	487753	When was the man tilting his head?	Nighttime.	Yaushe mutumin yake karkata kanshi?	Lokacin dare.
2384775	487757	What Color is the man's tie?	Purple.	Menene launin ɗamarar wuyan mutumin?	Shunayya.
2415420	934511	What color are the tiles?	Brown.	Menene launin tayel ɗin?	Ruwan ƙasa.
2376233	1962240	What part of the plane is down?	The wing flaps.	Wani ɓangaren jirginne a ƙasa?	Maharban fuffuken.
2408726	1066444	How many plates are on the table?	1	Nawane adadin farantai a kan tebur ɗin?	1
2370799	1850022	What is gathered in a puddle?	Water.	Me aka tara a cikin kududdufi?	Ruwa.
2409658	179125	Why is the man on the court?	Playing tennis.	Meyasa mutumin yake filin?	Yin wasan tanis.
2340094	523506	What is the dog doing?	Sleeping.	Me karen yakeyi?	Barci.
2359902	1630595	Where is the tile border?	Around the wall.	Ina iyakan tayel ɗin?	Kewaye da bangon.
2414132	1019220	What is the color of telephone wires?	Black.	Menene launin wayoyin tarho?	Baƙi.
2338059	397177	Who is blending?	A man.	Wanene yake markaɗe?	Mutumi.
2316899	921157	Where is the stuffed animal?	On the couch.	Ina 'yar tsanar dabbar?	A kan kujerar.
2372875	1894404	How is the train?	Arriving.	Yaya jirgin ƙasan?	Yana isowa.
2372875	1894398	What are the cars doing?	Parked.	Me motoci sukeyi?	A ajiye.
2372150	689726	How many cats are there?	One.	Nawane adadin maguna a gurin?	Ɗaya.
2374167	752085	What color is the man's tie?	Red.	Menene launin ɗamarar wuyan mutumin?	Ja.
2374167	1920873	What is around the bride's neck?	Necklace.	Menene zagaye a wuyan matar?	Sarƙa.
2322887	873250	What color is the fence?	Blue.	Menene launin shingen?	Shuɗi.
2389363	1479799	What kind of fence is this?	Chain link.	Wani irin shinge ne wannan?	Mahaɗar sarƙa.
2400498	1223106	Where is the white sheet?	Under the red blanket.	Ina farin shinfiɗan?	A ƙasan jan bargon.
2391500	1429647	What is the person standing on?	Skateboard.	Akan me mutumin yake tsaye?	Allon sullu mai taya.
2417622	952127	Where is the cat lying?	On a towel-covered table.	A ina magen take kwance?	Akan tebur mai rufe da tawul.
2393748	608461	What are they doing?	Jumping.	Me sukeyi?	Tsalle.
2321185	886873	Where are they walking?	Along the beach.	A ina suke tafiya?	Kusa da bakin teku.
2385206	743264	How many post on the sidewalk?	One.	Tirke nawane a gefen hanya?	Ɗaya.
2340332	587235	Where is the event taking place?	On a baseball field.	A ina akeyin lamarin?	A filin wasan baseball.
2392682	1369621	Where is this picture taken?	A field.	A ina aka ɗauka wannan hoton?	Fili.
2361297	442302	What is between two tennis courts?	Fence.	Menene a tsakanin filaye biyu na tanis?	Shinge.
2401010	1234517	How are both eyes?	Open.	Yaya duka idanun?	A buɗe.
2364944	823469	What is the toilet paper on?	Wall.	Akan me takardar bayan gida take?	Bango.
2401582	1247054	What has white stitching?	Black ribbon.	Menene yakeda farin ɗinki?	Baƙin kintinkiri.
2401582	1247060	What does the lady bear have on top of head?	Veil with rose.	Me budurwar ƴar tsanar ta ke sanye da shi a saman kai?	Gyale mai furen wardi.
2409658	1086480	Who is watching the game?	Spectators.	Waye yake kallon wasan?	Yan kallo.
2373667	1910714	What is on the floor of the open expanse?	A grate.	Menene a ƙasan buɗaddan filin?	Murfi.
2382724	809247	What color is the top of the table?	Black.	Menene launin saman tebur ɗin?	Baƙi.
2382724	809245	Where is the clock?	Wall.	Ina agogon?	Bango.
2338059	397182	Where is the lady?	No lady.	Ina budurwar?	Babu budurwa.
2383244	808832	Where are they lying?	On the bed.	A ina suke kwance?	A kan gadon.
2383244	808829	How many feet are there?	4	Nawane adadin ƙafafu a gurin?	4
2409074	183798	Where is the scene?	A place with palm trees.	Inane gurin?	Guri mai bishiyoyin kwakwa.
2370772	1849445	What kind of pants is the man wearing?	Snow pants.	Wani irin wando mutumin yake sanye da shi?	Wandon dusan ƙanƙara.
2372150	1878555	Where is the cat?	Bed.	Ina magen?	Gado.
2329138	404327	Where is a hat?	On a woman's head.	Ina hulan?	A kan matar.
2339344	843950	What kind of fruit is farthest left?	Lemon.	Wani irin kayan itacene a nesan hagu?	Lemun tsami.
2399443	1530075	What is behind the woman in the sky?	The Moon.	Menene a bayan matar a sama?	Wata.
2400498	1223112	What is on the bedside table?	An alarm clock.	Menene a kan tebur ɗin gefen gadon?	Agogon ƙararrawa.
2346516	453344	Who is in the picture?	A man and child.	Waye a hoton?	Mutumi da yaro.
2392791	1370253	What is the man doing?	Eating.	Me mutumin yakeyi?	Cin abinci.
2378433	556801	What is the animals doing?	Bending.	Me dabbobin sukeyi?	Sunkuyawa.
2378433	556806	What is the color of the bear?	Black.	Menene launin dabbar beya?	Baƙi.
2417622	952124	Who is in the photo?	A man.	Waye a cikin hoton?	Mutumi.
2392303	1494571	What is in the picture?	The Big Ben.	Menene a cikin hoton?	Big Ben ɗin.
2335177	460734	How many sheep are shown?	One.	Nawane adadin tumakai da aka nuna?	Ɗaya.
2335177	460729	Who is trimming the sheep?	The man.	Waye yake wa tumakiya aski?	Mutumin.
2407651	195177	What design is on the window panes?	They are a diamond pattern.	Wani irin ado ne a jikin gilasan tagar?	Sun kasance tsarin lu'u lu'u.
2321878	881328	What color is the fence?	White.	Menene launin shingen?	Fari.
2408770	186231	What color is the boy's shirt?	Red.	Menene launin rigar yaron?	Ja.
